title,genre,director,actor,score,year
tm69997,"['comedy', 'documentation']",['Jeff Margolis'],"['Richard Pryor', 'Jennifer Lee Pryor']",7.8,1979
tm16479,"['romance', 'comedy']",['Michael Curtiz'],"['Bing Crosby', 'Danny Kaye', 'Rosemary Clooney', 'Vera-Ellen', 'Dean Jagger', 'Mary Wickes', 'John Brascia', 'Anne Whitfield', 'Bea Allen', 'Frank Baker', 'Glen Cargyle', 'George Chakiris', 'Barrie Chase', 'Lorinne Crawford', 'Franklyn Farnum', 'Bess Flowers', 'Gavin Gordon', 'Johnny Grant', 'Percy Helton', 'I. Stanford Jolley', 'Sig Ruman', 'Grady Sutton', 'Herb Vigran', 'Robert Crosson']",7.35,1954
tm135083,"['drama', 'crime', 'comedy']",['Youssef Chahine'],"['Farid Shawqi', 'Hind Rostom', 'Youssef Chahine', 'Hassan el Baroudi', 'Abdel Aziz Khalil', 'Said Khalil', 'Abdel Ghani Nagdi', 'Loutfi El Hakim', 'Abdel Hamid Bodaoha', 'F. El Demerdache', 'Said El Araby', 'Ahmed Abaza', 'Hana Abdel Fattah', 'Safia Sarwat', 'Asaad Kellada', 'Naima Wasfy', 'Sherine', 'Soheir', 'Esmat Mahmoud', 'Nawal Morsi', 'Gharib Moawad', 'Mohamed Mazhar', 'Galal Issa', 'Mahrous El Garhi', 'Ahmed El Tantawi', 'S. Abdel Aziz', 'Nadia Lotfi', 'Safia Tharwat']",7.4,1958
tm89386,"['history', 'documentation', 'european']",['Joachim Fest'],['Gert Westphal'],7.4,1977
tm156453,"['war', 'documentation', 'music', 'comedy']",['Francine Parker'],"['Jane Fonda', 'Donald Sutherland', 'Pamela Donegan', 'Len Chandler', 'Michael Alaimo', 'Holly Near', 'Paul Mooney', 'Rita Martinson', 'Peter Boyle', 'Steve Jaffe']",6.15,1972
tm14350,['drama'],['Youssef Chahine'],"['Farid Shawqi', 'Mahmoud el-Meliguy', 'Ezzat El Alaili', 'Youssef Wahby', 'Yehia Chahine', 'Leila Fawzi', 'Akela Kateb', 'Zeinab Sedky', 'Ahmad Abdel Waress', 'Abdel Azziz Makhyoun', 'Ahmed Mehrez', 'Abdel Warith Assir', 'Aida Kamel', 'Oussaida Abbass', 'Zouzou Hamdy El-Hakim', 'Abdel Salam Mohamed', 'Halima El Soghayar', 'Samira Mohamed', 'Abou Hachich', 'Gamil El Traboulsi', 'Ahmad Zaki', 'Ahmad Bedir', 'Naglaa Fathy', 'Abdullah Mahmoud', 'Mohsena Tawfik', 'Seif Abdelrahman']",6.6,1979
tm81728,['drama'],['Youssef Chahine'],"['Ezzat El Alaili', 'Mahmoud el-Meliguy', 'Hamdy Ahmed', 'Yehia Chahine', 'Tewfik El Dekn', 'Ali El Sherif', 'Salah El-Saadany', 'Nagwa Ibrahim', 'Abdel Warith Assir', 'Fatma Omara\u200f', 'Ashraf Al-Selehdar', 'Hussein Ismail', 'Mahmoud Al Iraq', 'Faiza Abdelgawwad']",8.3,1969
tm94651,"['drama', 'comedy', 'crime', 'romance', 'action']",['Raj Khosla'],"['Amitabh Bachchan', 'Shatrughan Sinha', 'Zeenat Aman', 'Prem Chopra', 'Amrish Puri', 'Helen', 'Pran', 'Gajanan Jagirdar', 'Sajjan', 'Iftekhar', 'K.N. Singh', 'Trilok Kapoor', 'Abhimanyu Sharma', 'Goga Kapoor', 'Mac Mohan', 'Paintal', 'Jagdish Raj', 'Ruby Myers', 'Yunus Parvez']",3.5,1980
tm27298,"['action', 'drama', 'war', 'history', 'romance']",['Youssef Chahine'],"['Ahmad Mazhar', 'Nadia Lotfi', 'Salah Zulfikar', 'Leila Fawzi', 'Hamdy Ghaith', 'Laila Taher', 'Omar El-Hariri', 'Husain Reyadh', 'Mahmoud el-Meliguy', 'Zaki Toleimat', 'Tewfik El Dekn', 'Mohamed Hamdy', 'Mohamed Sultan', 'Mohamed Abdel Gawad', 'Sami Loutfi', 'Ibrahim Emara', 'Ahmed Louxor', 'Salah Nazmi']",7.35,1963
tm100027,"['drama', 'romance', 'action', 'fantasy', 'family']","['Umesh Mehra', 'Latif Faiziyev']","['Dharmendra', 'Hema Malini', 'Zeenat Aman', 'Prem Chopra', 'Zakir Mukhamedzhanov', 'Sofiko Chiaureli', 'Yelena Sanayeva', 'Frunzik Mkrtchyan', 'Maya-Gozel Aimedova']",6.5,1979
tm19608,"['crime', 'romance', 'drama']",['Youssef Chahine'],"['Faten Hamamah', 'Omar Sharif', 'Zaki Rostom', 'Farid Shawqi', 'Abdel Warith Assir', 'Ahmad Abdel Waress', 'Hamdy Ghaith', 'Abdel Ghani Kamar', 'Zaki Ibrahim']",7.2,1954
tm204541,"['action', 'drama', 'romance', 'thriller']",['Youssef Chahine'],"['Omar Sharif', 'Faten Hamamah', 'Ahmed Ramzy', 'Tewfik El Dekn', 'Ferdoos Mohammed', 'Husain Reyadh']",6.300000000000001,1956
tm259855,['documentation'],['Maroun Bagdadi'],[],5.65,1979
tm356209,"['drama', 'thriller', 'crime']",['Shakti Samanta'],"['Shammi Kapoor', 'Padmini', 'Maria Menado', 'Shashikala', 'Agha']",6.35,1960
tm200475,['drama'],['Maroun Bagdadi'],"['Ezzat El Alaili', 'Mireille Maalouf', 'Joseph Bou Nassar', 'Philippe Akiki', 'Ahmed Al Zain']",6.800000000000001,1975
tm90896,"['music', 'drama', 'crime']",['Youssef Chahine'],"['Mahmoud el-Meliguy', 'Hoda Soltan', 'Shukri Sarhan', 'Soheir El-Morshidy', 'Hesham Selim', 'Majida El Roumi', 'Ali El Sherif', 'Rajaa Hussain', 'Sid Ali Kouiret', 'Ali Mahrez', 'Ahmad Bedir']",6.25,1976
tm336403,"['crime', 'thriller']",['Mohammed Hussain'],"['Mahendra Sandhu', 'Danny Denzongpa', 'Jagdeep', 'Faryal', 'Padma Khanna', 'Asit Sen', 'Karan Dewan', 'Agha', 'Murad', 'Sabina']",4.449999999999999,1973
tm107372,"['romance', 'drama', 'comedy']",['Suhail Tatari'],[],5.9,1974
tm358653,"['romance', 'crime', 'drama']",[],"['Mala Sinha', 'Shammi Kapoor', 'Raaj Kumar', 'Leela Chitnis', 'Kumkum', 'Dhumal', 'Tun Tun', 'Asrani', 'Suresh']",6.3,1959
tm259684,['documentation'],['Maroun Bagdadi'],['Nadia Tueni'],6.4,1980
tm403346,['romance'],['A. Salaam'],[],5.3,1976
tm16812,"['drama', 'action', 'romance']",['Alo Sarkar'],"['Uttam Kumar', 'Sulakshana Pandit', 'Utpal Dutt']",5.2,1978
